product_id,category,industry,Business_scale,user_type,no_of_users,deployment,OS,mobile_apps,pricing,rating
100001,Data Management,Utilities,Large,Business,Single,Cloud,Linux,Y,Freemium,4.5
100002,Database/ERP,Food,Large,Business,Single,On-Premise,Mac,Y,Freemium,4.5
100003,Data Analysis,Manufacturing,Large,Business,Single,On-Premise,Linux,N,Open Source,5.0
100004,Data Analysis,IT,Medium,Business,Mulitple,On-Premise,Mac,Y,Open Source,5.0
100005,Benchmarking,Food,Medium,Analyst,Mulitple,Cloud,Windows,N,Enterprise,4.2
100006,Data Analysis,Academia,Large,Analyst,Mulitple,Hybrid,Windows,Y,Freemium,4.5
100007,Complete BI,IT,Medium,Business,Single,On-Premise,Linux,Y,Freemium,4.2
100008,DWH,Marketing,Medium,Analyst,Single,Cloud,Linux,Y,Open Source,4.0
100009,Database/ERP,Manufacturing,Medium,Business,Mulitple,Cloud,Windows,Y,Open Source,3.0
100010,Data Management,Telecommunications,Medium,Analyst,Mulitple,Hybrid,Linux,Y,Enterprise,4.0
100011,Business Analytics,Manufacturing,Large,Business,Mulitple,Hybrid,Linux,N,Freemium,5.0
100012,DWH,Fashion,Large,Analyst,Single,Hybrid,Mac,N,Open Source,4.5
100013,Database/ERP,Retail,Medium,Business,Single,Hybrid,Mac,N,Open Source,3.5
100014,Performance Metrics,Utilities,Medium,Analyst,Single,Hybrid,Mac,N,Open Source,4.0
100015,Web Analytics,IT,Medium,Analyst,Mulitple,Cloud,Windows,N,Enterprise,4.0
100016,Dashboarding,Manufacturing,Small,Analyst,Single,Hybrid,Mac,Y,Freemium,5.0
100017,Ad-hoc reporting,Retail,Medium,Business,Mulitple,On-Premise,Windows,N,Enterprise,3.0
100018,Database/ERP,Utilities,Medium,Business,Single,On-Premise,Windows,N,Enterprise,4.2
100019,Business Analytics,Consultancy,Large,Analyst,Mulitple,On-Premise,Mac,Y,Open Source,4.5
100020,Embedded BI,Retail,Large,Analyst,Mulitple,Hybrid,Mac,Y,Freemium,4.5
100021,Monitoring,Consultancy,Small,Analyst,Mulitple,Hybrid,Windows,N,Open Source,3.0
100022,Benchmarking,Retail,Small,Business,Single,On-Premise,Linux,N,Open Source,5.0
100023,ETL/ELT/OLAP,Telecommunications,Small,Business,Single,Cloud,Windows,N,Enterprise,5.0
100024,Business Analytics,Academia,Small,Business,Single,On-Premise,Windows,Y,Freemium,4.0
